sentence A = Men in costumes are walking around in the street.
sentence B = People in costumes are walking around in the street.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: Hominid=,Clothing+,Entity+,Walking=,Roadway=
CONCEPTS B: GroupOfPeople=,Clothing+,Entity+,Walking=,Roadway=

CONLL A:

1	Men	man	NOUN	NNS	_	5	nsubj	_	NNS|02472293-n|Hominid=
2	in	in	ADP	IN	_	1	prep	_	IN|?|?
3	costumes	costume	NOUN	NNS	_	2	pobj	_	NNS|03113657-n|Clothing+
4	are	be	VERB	VBP	_	5	aux	_	VBP|02604760-v|Entity+
5	walking	walk	VERB	VBG	_	0	ROOT	_	VBG|01904930-v|Walking=
6	around	around	ADV	RB	_	5	advmod	_	RP|00007015-r|?
7	in	in	ADP	IN	_	5	prep	_	IN|?|?
8	the	the	DET	DT	_	9	det	_	DT|?|?
9	street	street	NOUN	NN	_	7	pobj	_	NN|04334599-n|Roadway=
10	.	.	.	.	_	5	punct	_	Fp|?|?


CONLL B:

1	People	people	NOUN	NNS	_	5	nsubj	_	NNS|07942152-n|GroupOfPeople=
2	in	in	ADP	IN	_	1	prep	_	IN|?|?
3	costumes	costume	NOUN	NNS	_	2	pobj	_	NNS|03113657-n|Clothing+
4	are	be	VERB	VBP	_	5	aux	_	VBP|02604760-v|Entity+
5	walking	walk	VERB	VBG	_	0	ROOT	_	VBG|01904930-v|Walking=
6	around	around	ADV	RB	_	5	advmod	_	RP|00007015-r|?
7	in	in	ADP	IN	_	5	prep	_	IN|?|?
8	the	the	DET	DT	_	9	det	_	DT|?|?
9	street	street	NOUN	NN	_	7	pobj	_	NN|04334599-n|Roadway=
10	.	.	.	.	_	5	punct	_	Fp|?|?
