sentence A = Two little boys are playing outside with a soccer ball on the green grass.
sentence B = Children are playing outside with a soccer ball on the green grass.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: SubjectiveStrongNegativeAttribute+,Human+,Entity+,DramaticActing+,Soccer=,Ball=,Green=,Grass=
CONCEPTS B: HumanChild=,Entity+,DramaticActing+,Soccer=,Ball=,Green=,Grass=

CONLL A:

1	Two	2	NUM	CD	_	3	num	_	Z|?|?
2	little	little	ADJ	JJ	_	3	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
3	boys	boy	NOUN	NNS	_	5	nsubj	_	NNS|10285313-n|Human+
4	are	be	VERB	VBP	_	5	aux	_	VBP|02604760-v|Entity+
5	playing	play	VERB	VBG	_	0	ROOT	_	VBG|01719302-v|DramaticActing+
6	outside	outside	ADV	RB	_	5	advmod	_	IN|?|?
7	with	with	ADP	IN	_	5	prep	_	IN|?|?
8	a	a	DET	DT	_	10	det	_	DT|?|?
9	soccer	soccer	NOUN	NN	_	10	nn	_	NN|00478262-n|Soccer=
10	ball	ball	NOUN	NN	_	7	pobj	_	NN|02778669-n|Ball=
11	on	on	ADP	IN	_	10	prep	_	IN|?|?
12	the	the	DET	DT	_	14	det	_	DT|?|?
13	green	green	ADJ	JJ	_	14	amod	_	JJ|00375969-a|Green=
14	grass	grass	NOUN	NN	_	11	pobj	_	NN|12102133-n|Grass=
15	.	.	.	.	_	5	punct	_	Fp|?|?


CONLL B:

1	Children	child	NOUN	NNS	_	3	nsubj	_	NNS|09917593-n|HumanChild=
2	are	be	VERB	VBP	_	3	aux	_	VBP|02604760-v|Entity+
3	playing	play	VERB	VBG	_	0	ROOT	_	VBG|01719302-v|DramaticActing+
4	outside	outside	ADV	RB	_	3	advmod	_	IN|?|?
5	with	with	ADP	IN	_	3	prep	_	IN|?|?
6	a	a	DET	DT	_	8	det	_	DT|?|?
7	soccer	soccer	NOUN	NN	_	8	nn	_	NN|00478262-n|Soccer=
8	ball	ball	NOUN	NN	_	5	pobj	_	NN|02778669-n|Ball=
9	on	on	ADP	IN	_	8	prep	_	IN|?|?
10	the	the	DET	DT	_	12	det	_	DT|?|?
11	green	green	ADJ	JJ	_	12	amod	_	JJ|00375969-a|Green=
12	grass	grass	NOUN	NN	_	9	pobj	_	NN|12102133-n|Grass=
13	.	.	.	.	_	3	punct	_	Fp|?|?
