sentence A = It is raining on a walking man.
sentence B = A man is walking in the rain.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Entity+,Raining+,Walking=,Hominid=
CONCEPTS B: Hominid=,Entity+,Walking=,Raining+

CONLL A:

1	It	it	PRON	PRP	_	3	nsubj	_	PRP|?|?
2	is	be	VERB	VBZ	_	3	aux	_	VBZ|02604760-v|Entity+
3	raining	rain	VERB	VBG	_	0	ROOT	_	VBG|02756558-v|Raining+
4	on	on	ADP	IN	_	3	prep	_	IN|?|?
5	a	a	DET	DT	_	7	det	_	DT|?|?
6	walking	walk	VERB	VBG	_	7	amod	_	VBG|01904930-v|Walking=
7	man	man	NOUN	NN	_	4	pobj	_	NN|02472293-n|Hominid=
8	.	.	.	.	_	3	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	man	man	NOUN	NN	_	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	VERB	VBZ	_	4	aux	_	VBZ|02604760-v|Entity+
4	walking	walk	VERB	VBG	_	0	ROOT	_	VBG|01904930-v|Walking=
5	in	in	ADP	IN	_	4	prep	_	IN|?|?
6	the	the	DET	DT	_	7	det	_	DT|?|?
7	rain	rain	NOUN	NN	_	5	pobj	_	NN|11501381-n|Raining+
8	.	.	.	.	_	4	punct	_	Fp|?|?
