sentence A = One chimp is angrily kicking the target.
sentence B = A chimp is angrily kicking a target.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Ape+,Entity+,EmotionalState+,Expressing+,Entity+
CONCEPTS B: Ape+,Entity+,EmotionalState+,Expressing+,Entity+

CONLL A:

1	One	1	NUM	CD	_	2	num	_	Z|?|?
2	chimp	chimp	NOUN	NN	_	5	nsubj	_	NN|02481823-n|Ape+
3	is	be	VERB	VBZ	_	5	aux	_	VBZ|02604760-v|Entity+
4	angrily	angrily	ADV	RB	_	5	advmod	_	RB|00227323-r|EmotionalState+
5	kicking	kick	VERB	VBG	_	0	ROOT	_	VBG|00907147-v|Expressing+
6	the	the	DET	DT	_	7	det	_	DT|?|?
7	target	target	NOUN	NN	_	5	dobj	_	NN|05981230-n|Entity+
8	.	.	.	.	_	5	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	chimp	chimp	NOUN	NN	_	5	nsubj	_	NN|02481823-n|Ape+
3	is	be	VERB	VBZ	_	5	aux	_	VBZ|02604760-v|Entity+
4	angrily	angrily	ADV	RB	_	5	advmod	_	RB|00227323-r|EmotionalState+
5	kicking	kick	VERB	VBG	_	0	ROOT	_	VBG|00907147-v|Expressing+
6	a	a	DET	DT	_	7	det	_	DT|?|?
7	target	target	NOUN	NN	_	5	dobj	_	NN|05981230-n|Entity+
8	.	.	.	.	_	5	punct	_	Fp|?|?
