sentence A = There is no man in a red uniform making a jump in a dirt bike race.
sentence B = A man in a red uniform is making a jump in a dirt bike race.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,Red=,UniformClothing=,Defecate=,Transportation+,Text+,Bicycle=,Racing=
CONCEPTS B: Hominid=,Red=,UniformClothing=,Entity+,Defecate=,Transportation+,Text+,Bicycle=,Racing=

CONLL A:

1	There	there	DET	EX	_	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	_	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	_	4	det	_	DT|?|?
4	man	man	NOUN	NN	_	2	nsubj	_	NN|02472293-n|Hominid=
5	in	in	ADP	IN	_	4	prep	_	IN|?|?
6	a	a	DET	DT	_	8	det	_	DT|?|?
7	red	red	ADJ	JJ	_	8	amod	_	JJ|00381097-a|Red=
8	uniform	uniform	NOUN	NN	_	5	pobj	_	NN|04509592-n|UniformClothing=
9	making	make	VERB	VBG	_	4	partmod	_	VBG|00074038-v|Defecate=
10	a	a	DET	DT	_	11	det	_	DT|?|?
11	jump	jump	NOUN	NN	_	9	dobj	_	NN|00303849-n|Transportation+
12	in	in	ADP	IN	_	11	prep	_	IN|?|?
13	a	a	DET	DT	_	16	det	_	DT|?|?
14	dirt	dirt	NOUN	NN	_	15	nn	_	NN|07223811-n|Text+
15	bike	bike	NOUN	NN	_	16	nn	_	NN|02834778-n|Bicycle=
16	race	race	NOUN	NN	_	12	pobj	_	NN|07458453-n|Racing=
17	.	.	.	.	_	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	_	2	det	_	DT|?|?
2	man	man	NOUN	NN	_	8	nsubj	_	NN|02472293-n|Hominid=
3	in	in	ADP	IN	_	2	prep	_	IN|?|?
4	a	a	DET	DT	_	6	det	_	DT|?|?
5	red	red	ADJ	JJ	_	6	amod	_	JJ|00381097-a|Red=
6	uniform	uniform	NOUN	NN	_	3	pobj	_	NN|04509592-n|UniformClothing=
7	is	be	VERB	VBZ	_	8	aux	_	VBZ|02604760-v|Entity+
8	making	make	VERB	VBG	_	0	ROOT	_	VBG|00074038-v|Defecate=
9	a	a	DET	DT	_	10	det	_	DT|?|?
10	jump	jump	NOUN	NN	_	8	dobj	_	NN|00303849-n|Transportation+
11	in	in	ADP	IN	_	10	prep	_	IN|?|?
12	a	a	DET	DT	_	15	det	_	DT|?|?
13	dirt	dirt	NOUN	NN	_	14	nn	_	NN|07223811-n|Text+
14	bike	bike	NOUN	NN	_	15	nn	_	NN|02834778-n|Bicycle=
15	race	race	NOUN	NN	_	11	pobj	_	NN|07458453-n|Racing=
16	.	.	.	.	_	8	punct	_	Fp|?|?
