sentence A = Three boys are jumping off a platform.
sentence B = Nobody is jumping off a platform.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Human+,Entity+,Ambulating=,PerformanceStage+
CONCEPTS B: Entity+,Ambulating=,PerformanceStage+

CONLL A:

1	Three	3	NUM	CD	_	2	num	_	Z|?|?
2	boys	boy	NOUN	NNS	_	4	nsubj	_	NNS|10285313-n|Human+
3	are	be	VERB	VBP	_	4	aux	_	VBP|02604760-v|Entity+
4	jumping	jump	VERB	VBG	_	0	ROOT	_	VBG|01963942-v|Ambulating=
5	off	off	PRT	RP	_	4	prt	_	RP|00232936-r|?
6	a	a	DET	DT	_	7	det	_	DT|?|?
7	platform	platform	NOUN	NN	_	4	dobj	_	NN|03961939-n|PerformanceStage+
8	.	.	.	.	_	4	punct	_	Fp|?|?


CONLL B:

1	Nobody	nobody	NOUN	NN	_	3	nsubj	_	PRP|?|?
2	is	be	VERB	VBZ	_	3	aux	_	VBZ|02604760-v|Entity+
3	jumping	jump	VERB	VBG	_	0	ROOT	_	VBG|01963942-v|Ambulating=
4	off	off	PRT	RP	_	3	prt	_	RP|00232936-r|?
5	a	a	DET	DT	_	6	det	_	DT|?|?
6	platform	platform	NOUN	NN	_	3	dobj	_	NN|03961939-n|PerformanceStage+
7	.	.	.	.	_	3	punct	_	Fp|?|?
